project_id,mp_name,district,work_type,sanction_date,sanction_amount,expenditure_to_date,start_date,expected_end_date,actual_end_date,status
WS/ MP620/2024-2025/133166-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,09-Jul-24,497185,497185,09-Jul-24,,14-Oct-24,Completed
WS/ MP620/2025-2026/133167-Construction of rooms and halls in school and colleges,Pralhad Venkatesh Joshi,DHARWAD,Trust and Society,18-Sep-25,500000,,18-Sep-25,,,Sanction
WS/ MP620/2024-2025/133190-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Trust and Society,23-Sep-24,450000,,23-Sep-24,,,Sanction
WS/ MP620/2025-2026/133191-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,29-May-25,1500000,,29-May-25,,,Work partially Completed
WS/ MP620/2024-2025/133301-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,22-Aug-24,398009,398009,22-Aug-24,,03-Feb-25,Completed
WS/ MP620/2024-2025/133303-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,25-Jul-24,399104,399104,25-Jul-24,,14-Feb-25,Completed
WS/ MP620/2024-2025/133304-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,22-Aug-24,396154,396154,22-Aug-24,,25-Sep-25,Completed
WS/ MP620/2025-2026/133305-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,03-Jun-25,400000,,03-Jun-25,,,Sanction
WS/ MP620/2024-2025/133306-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,14-Mar-25,495627,495627,14-Mar-25,,17-Jul-25,Completed
WS/ MP620/2024-2025/133307-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,17-Aug-24,398955,398955,17-Aug-24,,29-Jul-25,Completed
WS/ MP620/2024-2025/133308-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,17-Aug-24,399304,399304,17-Aug-24,,31-May-25,Completed
WS/ MP620/2024-2025/133309-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,14-Mar-25,495031,495031,14-Mar-25,,28-Oct-25,Completed
WS/ MP620/2024-2025/133310-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,22-Aug-24,247583,247583,22-Aug-24,,31-May-25,Completed
WS/ MP620/2024-2025/133311-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,22-Aug-24,250000,,22-Aug-24,,,Sanction
WS/ MP620/2024-2025/133312-Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,25-Jul-24,498091,498091,25-Jul-24,,09-Jun-25,Completed
"WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system",Pradeep Kumar Singh,ARARIA,Normal/Others,14-Jul-24,448127,448127,14-Jul-24,,05-Sep-24,Completed
WS/MP498/2024-2025/133447-Construction of culverts and bridges,Dr Sukanta Majumdar,BALURGHAT,Normal/Others,07-Aug-24,1602957,1602957,07-Aug-24,,27-Jul-26,Completed
"WS/MP577/2025-2026/133549-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,11-Apr-25,250000,250000,11-Apr-25,,21-Feb-26,Completed
"WS/MP577/2025-2026/133550-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,07-Oct-25,245697,,07-Oct-25,,,Sanction
"WS/MP577/2025-2026/133551-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,17-Oct-25,242105,242105,17-Oct-25,,21-Feb-26,Completed
"WS/MP577/2025-2026/133552-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,11-Apr-25,250000,,11-Apr-25,,,Sanction
"WS/MP577/2025-2026/133553-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,07-Oct-25,245697,,07-Oct-25,,,Sanction
WS/MP577/2025-2026/133554-Construction of shelters for animals,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,17-Oct-25,245098,,17-Oct-25,,,Sanction
"WS/MP577/2025-2026/133556-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,07-Oct-25,245697,,07-Oct-25,,,Sanction
WS/MP577/2025-2026/133557-Construction of public irrigation facilities,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,02-Jan-26,250000,,02-Jan-26,,,Sanction
"WS/MP577/2025-2026/133558-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,07-Oct-25,245697,,07-Oct-25,,,Sanction
"WS/MP577/2025-2026/133559-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,17-Oct-25,245098,,17-Oct-25,,,Sanction
WS/MP577/2025-2026/133560-Construction of public irrigation facilities,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,17-Oct-25,245826,,17-Oct-25,,,Sanction
WS/MP577/2025-2026/133561-Construction of public irrigation facilities,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,17-Oct-25,245826,,17-Oct-25,,,Sanction
"WS/MP577/2025-2026/133562-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,07-Oct-25,245697,,07-Oct-25,,,Sanction
"WS/MP577/2025-2026/133563-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,07-Oct-25,245697,,07-Oct-25,,,Sanction
"WS/MP577/2025-2026/133564-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,02-Jan-26,250000,,02-Jan-26,,12-May-26,Completed
"WS/MP577/2025-2026/133565-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,11-Apr-25,250000,250000,11-Apr-25,,06-Feb-26,Completed
"WS/MP577/2025-2026/133566-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,07-Oct-25,250000,,07-Oct-25,,,Sanction
"WS/MP577/2025-2026/133567-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,17-Oct-25,245098,245098,17-Oct-25,,06-May-26,Completed
"WS/MP577/2025-2026/133568-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,07-Oct-25,245697,,07-Oct-25,,,Sanction
"WS/MP577/2025-2026/133569-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,11-Apr-25,250000,250000,11-Apr-25,,21-Feb-26,Completed
WS/MP577/2025-2026/133570-Providing drains and gutters for public drainage,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,11-Apr-25,250000,,11-Apr-25,,,Sanction
WS/MP577/2025-2026/133571-Providing drains and gutters for public drainage,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,11-Apr-25,250000,,11-Apr-25,,,Sanction
WS/MP577/2025-2026/133572-Construction of public irrigation facilities,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,17-Oct-25,245826,,17-Oct-25,,,Sanction
"WS/MP577/2025-2026/133573-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,07-Oct-25,245697,,07-Oct-25,,,Sanction
"WS/MP577/2025-2026/133574-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,07-Oct-25,245697,,07-Oct-25,,,Sanction
"WS/MP577/2024-2025/133575-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,27-Mar-25,250000,,27-Mar-25,,,Work partially Completed
"WS/MP577/2024-2025/133576-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,27-Mar-25,250000,,27-Mar-25,,,Sanction
WS/MP577/2025-2026/133577-Construction of public irrigation facilities,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,17-Oct-25,245826,,17-Oct-25,,,Sanction
"WS/MP577/2024-2025/133578-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,27-Mar-25,250000,,27-Mar-25,,,Sanction
"WS/MP577/2025-2026/133579-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,04-Oct-25,247496,,04-Oct-25,,,Physical Inspection
"WS/MP577/2025-2026/133580-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,04-Oct-25,247496,,04-Oct-25,,,Sanction
"WS/MP577/2025-2026/133581-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,12-Jan-26,250000,,12-Jan-26,,,Sanction
WS/MP577/2025-2026/133582-Construction of public irrigation facilities,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,12-Jan-26,250000,,12-Jan-26,,,Sanction
WS/MP577/2025-2026/133583-Construction of public irrigation facilities,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,12-Jan-26,250000,,12-Jan-26,,,Sanction
"WS/MP577/2024-2025/133584-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,27-Mar-25,249291,249291,27-Mar-25,,22-Aug-26,Completed
"WS/MP577/2024-2025/133585-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,27-Mar-25,250000,249291,27-Mar-25,,22-Aug-26,Completed
"WS/MP577/2024-2025/133586-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,27-Mar-25,249291,,27-Mar-25,,,Sanction
"WS/MP577/2025-2026/133587-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,04-Oct-25,247496,,04-Oct-25,,,Sanction
"WS/MP577/2024-2025/133588-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,27-Mar-25,250000,249291,27-Mar-25,,23-Aug-26,Completed
WS/MP577/2025-2026/133589-Construction of public irrigation facilities,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,12-Jan-26,250000,,12-Jan-26,,,Sanction
WS/MP577/2025-2026/133590-Construction of public irrigation facilities,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,12-Jan-26,250000,,12-Jan-26,,,Sanction
"WS/MP577/2025-2026/133591-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,12-Jan-26,250000,248443,12-Jan-26,,21-Aug-26,Completed
"WS/MP577/2024-2025/133592-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,27-Mar-25,249291,,27-Mar-25,,,Sanction
WS/MP577/2025-2026/133593-Construction of public irrigation facilities,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,02-Jan-26,350000,,02-Jan-26,,,Sanction
"WS/MP577/2025-2026/133594-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,12-Jan-26,250000,,12-Jan-26,,,Sanction
"WS/MP577/2025-2026/133595-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,04-Oct-25,247496,,04-Oct-25,,,Sanction
"WS/MP577/2025-2026/133596-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,12-Jan-26,300000,,12-Jan-26,,,Sanction
"WS/MP577/2024-2025/133597-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,27-Mar-25,249291,,27-Mar-25,,,Physical Inspection
"WS/MP577/2024-2025/133598-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,27-Mar-25,249291,,27-Mar-25,,,Sanction
WS/MP577/2025-2026/133599-Construction of public irrigation facilities,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,12-Jan-26,250000,,12-Jan-26,,,Sanction
"WS/MP577/2024-2025/133600-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,27-Mar-25,249291,249291,27-Mar-25,,21-Aug-26,Completed
"WS/MP577/2024-2025/133601-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,27-Mar-25,249291,249291,27-Mar-25,,23-Aug-26,Completed
WS/MP577/2025-2026/133602-Construction of public irrigation facilities,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,12-Jan-26,250000,,12-Jan-26,,,Physical Inspection
"WS/MP577/2025-2026/133603-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,12-Jan-26,250000,,12-Jan-26,,,Sanction
WS/MP577/2025-2026/133604-Construction of public irrigation facilities,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,02-Jan-26,250000,,02-Jan-26,,,Sanction
"WS/MP577/2025-2026/133605-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,02-Jan-26,250000,,02-Jan-26,,,Sanction
"WS/MP577/2024-2025/133606-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,16-Mar-25,250000,,16-Mar-25,,,Sanction
"WS/MP577/2024-2025/133607-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,16-Mar-25,250000,,16-Mar-25,,,Sanction
"WS/MP577/2024-2025/133608-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,16-Mar-25,250000,,16-Mar-25,,,Sanction
"WS/MP577/2025-2026/133609-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,02-Jan-26,250000,,02-Jan-26,,,Sanction
WS/MP577/2026-2027/133610-Construction of public irrigation facilities,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,30-Jun-26,250000,,30-Jun-26,,,Sanction
"WS/MP577/2025-2026/133611-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,02-Jan-26,250000,,02-Jan-26,,,Sanction
"WS/MP577/2024-2025/133612-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,16-Mar-25,250000,,16-Mar-25,,,Sanction
WS/MP577/2025-2026/133613-Construction of public irrigation facilities,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,02-Jan-26,250000,,02-Jan-26,,,Sanction
"WS/MP577/2025-2026/133614-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,02-Jan-26,250000,,02-Jan-26,,,Sanction
WS/MP18152/2024-2025/133686-Construction of rooms and halls in school and colleges,SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,02-Aug-24,300000,300000,02-Aug-24,,07-Apr-25,Completed
WS/MP18152/2024-2025/133687-Construction of rooms and halls in school and colleges,SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,02-Aug-24,300000,300000,02-Aug-24,,07-Apr-25,Completed
WS/MP18152/2024-2025/133688-Construction of rooms and halls in school and colleges,SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,02-Aug-24,300000,300000,02-Aug-24,,07-Apr-25,Completed
WS/MP18152/2024-2025/133689-Construction of rooms and halls in school and colleges,SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,02-Aug-24,300000,300000,02-Aug-24,,07-Apr-25,Completed
WS/MP18152/2024-2025/133690-Construction of rooms and halls in school and colleges,SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,02-Aug-24,300000,300000,02-Aug-24,,07-Apr-25,Completed
WS/MP18152/2024-2025/133691-Construction of rooms and halls in school and colleges,SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,02-Aug-24,300000,300000,02-Aug-24,,07-Apr-25,Completed
WS/MP18152/2024-2025/133692-Construction of rooms and halls in school and colleges,SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,02-Sep-24,299155,299155,02-Sep-24,,07-Apr-25,Completed
WS/MP18152/2024-2025/133693-Construction of rooms and halls in school and colleges,SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,02-Aug-24,300000,300000,02-Aug-24,,07-Apr-25,Completed
WS/MP18152/2024-2025/133694-Construction of rooms and halls in school and colleges,SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,02-Aug-24,300000,300000,02-Aug-24,,07-Apr-25,Completed
WS/MP18152/2024-2025/133695-Construction of rooms and halls in school and colleges,SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,02-Sep-24,197304,197304,02-Sep-24,,07-Apr-25,Completed
WS/MP18152/2024-2025/133696-Installing community drinking water plants,SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,02-Aug-24,84500,84500,02-Aug-24,,07-Apr-25,Completed
WS/MP18152/2024-2025/133697-Construction of rooms and halls in school and colleges,SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,02-Sep-24,298940,298940,02-Sep-24,,07-Apr-25,Completed
WS/MP18152/2024-2025/133698-Construction of rooms and halls in school and colleges,SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,02-Sep-24,250000,250000,02-Sep-24,,07-May-25,Completed
WS/MP18152/2024-2025/133699-Installing community drinking water plants,SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,02-Sep-24,84500,84500,02-Sep-24,,07-Apr-25,Completed
WS/MP18152/2024-2025/133700-Installing community drinking water plants,SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,01-Jan-25,100000,100000,01-Jan-25,,04-Mar-25,Completed
WS/MP18152/2024-2025/133701-Installing community drinking water plants,SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,02-Aug-24,84500,84500,02-Aug-24,,07-Apr-25,Completed
WS/MP18152/2024-2025/133702-Installing community drinking water plants,SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,02-Sep-24,84500,84500,02-Sep-24,,07-May-25,Completed
WS/MP18152/2024-2025/133703-Installing community drinking water plants,SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,02-Aug-24,84500,84500,02-Aug-24,,07-Apr-25,Completed
WS/MP577/2024-2025/133772-Providing drains and gutters for public drainage,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,08-Jan-25,225200,225200,08-Jan-25,,21-Nov-25,Completed
"WS/MP577/2024-2025/133773-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,08-Jan-25,328900,328900,08-Jan-25,,23-Apr-25,Completed
"WS/MP577/2024-2025/133774-Construction of roads, link roads, pathways or any other road with or without drainage system",Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,08-Jan-25,288400,288400,08-Jan-25,,23-Apr-25,Completed
WS/MP577/2024-2025/133775-Construction of public irrigation facilities,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,08-Jan-25,292600,292600,08-Jan-25,,21-Apr-25,Completed
WS/MP577/2024-2025/133776-Construction of public irrigation facilities,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,08-Jan-25,289800,289800,08-Jan-25,,23-Apr-25,Completed
"WS/MP641/2024-2025/133904-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Gajendra Singh Patel,KHARGONE(ST),Normal/Others,21-Jan-25,1000000,,21-Jan-25,,,Vendor Identification
WS/MP641/2024-2025/133905-Construction of common work sheds/ common covered sitting area,Gajendra Singh Patel,KHARGONE(ST),Normal/Others,05-Jan-25,250000,250000,05-Jan-25,,17-Mar-26,Completed
WS/MP641/2024-2025/133906-Construction of community centers and community halls,Gajendra Singh Patel,KHARGONE(ST),Normal/Others,05-Jan-25,500000,,05-Jan-25,,,Work partially Completed
WS/MP641/2024-2025/133909-Construction of common work sheds/ common covered sitting area,Gajendra Singh Patel,KHARGONE(ST),Normal/Others,22-Oct-24,250000,,22-Oct-24,,,Vendor Identification
WS/MP641/2024-2025/133910-Construction of common work sheds/ common covered sitting area,Gajendra Singh Patel,KHARGONE(ST),Normal/Others,25-Oct-24,200000,,25-Oct-24,,,Vendor Identification
WS/MP641/2024-2025/133911-Construction of community centers and community halls,Gajendra Singh Patel,KHARGONE(ST),Normal/Others,21-Oct-24,500000,,21-Oct-24,,,Vendor Identification
WS/MP641/2024-2025/133912-Construction of community centers and community halls,Gajendra Singh Patel,KHARGONE(ST),Normal/Others,22-Oct-24,1000000,,22-Oct-24,,,Vendor Identification
WS/MP641/2024-2025/133913-Construction of common work sheds/ common covered sitting area,Gajendra Singh Patel,KHARGONE(ST),Normal/Others,27-Mar-25,500000,,27-Mar-25,,,Vendor Identification
WS/MP641/2024-2025/133919-Construction of common work sheds/ common covered sitting area,Gajendra Singh Patel,KHARGONE(ST),Normal/Others,18-Dec-24,200000,200000,18-Dec-24,,07-Apr-26,Completed
WS/MP641/2025-2026/133920-Construction of community centers and community halls,Gajendra Singh Patel,KHARGONE(ST),Normal/Others,12-May-25,500000,,12-May-25,,,Vendor Identification
WS/MP641/2025-2026/133921-Construction of community centers and community halls,Gajendra Singh Patel,KHARGONE(ST),Normal/Others,05-May-25,500000,,05-May-25,,,Vendor Identification
WS/MP641/2024-2025/133929-Construction of additional rooms and halls in the existing public and community building,Gajendra Singh Patel,KHARGONE(ST),Normal/Others,27-Mar-25,200000,,27-Mar-25,,,Vendor Identification
WS/MP423/2024-2025/133940-Construction of bus-sheds or bus-stops,Ramprit Mandal,JHANJHARPUR,Normal/Others,21-Feb-25,1451000,1451000,21-Feb-25,,26-Sep-25,Completed
WS/MP423/2024-2025/133941-Construction of bus-sheds or bus-stops,Ramprit Mandal,JHANJHARPUR,Normal/Others,21-Feb-25,1451000,1451000,21-Feb-25,,26-Sep-25,Completed
WS/MP423/2024-2025/133944-Construction of bus-sheds or bus-stops,Ramprit Mandal,JHANJHARPUR,Normal/Others,21-Feb-25,1451000,1451000,21-Feb-25,,26-Sep-25,Completed
WS/MP423/2024-2025/133945-Construction of bus-sheds or bus-stops,Ramprit Mandal,JHANJHARPUR,Normal/Others,21-Feb-25,1451000,1451000,21-Feb-25,,26-Sep-25,Completed
WS/MP423/2024-2025/133946-Construction of bus-sheds or bus-stops,Ramprit Mandal,JHANJHARPUR,Normal/Others,21-Feb-25,1451000,1451000,21-Feb-25,,26-Sep-25,Completed
WS/MP423/2024-2025/133947-Street lights,Ramprit Mandal,JHANJHARPUR,Normal/Others,12-Mar-25,994000,994000,12-Mar-25,,17-Jun-25,Completed
WS/MP423/2024-2025/133949-Construction of bus-sheds or bus-stops,Ramprit Mandal,JHANJHARPUR,Normal/Others,21-Feb-25,1451000,1451000,21-Feb-25,,26-Sep-25,Completed
WS/MP423/2024-2025/133955-Construction of bus-sheds or bus-stops,Ramprit Mandal,JHANJHARPUR,Normal/Others,21-Feb-25,1451000,1451000,21-Feb-25,,26-Sep-25,Completed
WS/MP423/2024-2025/133959-Construction of bus-sheds or bus-stops,Ramprit Mandal,JHANJHARPUR,Normal/Others,21-Feb-25,1451000,1451000,21-Feb-25,,26-Sep-25,Completed
WS/MP423/2024-2025/133960-Construction of bus-sheds or bus-stops,Ramprit Mandal,JHANJHARPUR,Normal/Others,21-Feb-25,1451000,1451000,21-Feb-25,,06-Jan-26,Completed
WS/MP423/2024-2025/133961-Construction of rainwater harvesting structures,Ramprit Mandal,JHANJHARPUR,Normal/Others,20-Aug-24,1096000,1096000,20-Aug-24,,12-Nov-24,Completed
WS/MP423/2024-2025/133962-Construction of rainwater harvesting structures,Ramprit Mandal,JHANJHARPUR,Normal/Others,20-Aug-24,1096000,1096000,20-Aug-24,,12-Nov-24,Completed
WS/MP423/2024-2025/133963-Construction of rainwater harvesting structures,Ramprit Mandal,JHANJHARPUR,Normal/Others,20-Aug-24,1096000,1096000,20-Aug-24,,12-Nov-24,Completed
WS/MP423/2024-2025/133964-Construction of bus-sheds or bus-stops,Ramprit Mandal,JHANJHARPUR,Normal/Others,21-Feb-25,1451000,1451000,21-Feb-25,,26-Sep-25,Completed
WS/MP423/2024-2025/133965-Construction of rainwater harvesting structures,Ramprit Mandal,JHANJHARPUR,Normal/Others,20-Aug-24,1096000,1096000,20-Aug-24,,12-Nov-24,Completed
WS/MP423/2024-2025/133966-Construction of rainwater harvesting structures,Ramprit Mandal,JHANJHARPUR,Normal/Others,20-Aug-24,1096000,1096000,20-Aug-24,,12-Nov-24,Completed
WS/MP423/2024-2025/133967-Construction of rainwater harvesting structures,Ramprit Mandal,JHANJHARPUR,Normal/Others,20-Aug-24,1096000,1096000,20-Aug-24,,12-Nov-24,Completed
WS/MP423/2024-2025/133968-Construction of rainwater harvesting structures,Ramprit Mandal,JHANJHARPUR,Normal/Others,20-Aug-24,1096000,1096000,20-Aug-24,,12-Nov-24,Completed
WS/MP423/2024-2025/133969-Construction of rainwater harvesting structures,Ramprit Mandal,JHANJHARPUR,Normal/Others,20-Aug-24,1096000,1096000,20-Aug-24,,12-Nov-24,Completed
WS/MP423/2024-2025/133970-Construction of rainwater harvesting structures,Ramprit Mandal,JHANJHARPUR,Normal/Others,20-Aug-24,1096000,1096000,20-Aug-24,,12-Nov-24,Completed
