project_id,mp_name,district,work_type,sanction_date,sanction_amount,expenditure_to_date,start_date,expected_end_date,actual_end_date,status,months_elapsed,cost_overrun_ratio,delay_days,fund_utilization_speed,percent_spent,last_update_date,last_update_age,possible_unit_error
52850,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,250000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52851,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,250000.0,0.0,,,,Sanction,0.0,0.0,0,0.0,0.0,,9999,0
52852,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,250000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52853,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,250000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52854,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,250000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52855,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,500000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52856,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,250000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52857,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,250000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52858,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,250000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52859,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,250000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
5286,VINOD KUMAR BIND,BHADOHI,Normal/Others,,259942.0,118993.0,,,2026-01-08,Physical Inspection,0.0,0.4577675019812112,0,0.0,0.4577675019812112,,9999,0
52860,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,250000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52861,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,250000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52862,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,250000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52863,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,250000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52864,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,250000.0,0.0,,,,Sanction,0.0,0.0,0,0.0,0.0,,9999,0
52865,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,250000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52866,BALRAM NAIK PORIKA,MAHABUBABAD,Normal/Others,,499000.0,0.0,,,,Work Completed,0.0,0.0,0,0.0,0.0,,9999,0
52867,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,250000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52868,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,250000.0,0.0,,,,Work Partially Completed,0.0,0.0,0,0.0,0.0,,9999,0
52869,BALRAM NAIK PORIKA,MAHABUBABAD,Normal/Others,,499000.0,0.0,,,,Work Completed,0.0,0.0,0,0.0,0.0,,9999,0
5287,VINOD KUMAR BIND,BHADOHI,Normal/Others,,259942.0,118993.0,,,2026-01-08,Physical Inspection,0.0,0.4577675019812112,0,0.0,0.4577675019812112,,9999,0
52870,Saptagiri Sankar Ulaka,KORAPUT(ST),Normal/Others,,500000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52871,BALRAM NAIK PORIKA,MAHABUBABAD,Normal/Others,,240000.0,0.0,,,,Work Completed,0.0,0.0,0,0.0,0.0,,9999,0
52872,AKHILESH YADAV,KANNAUJ,Normal/Others,,1050000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52873,AKHILESH YADAV,KANNAUJ,Normal/Others,,700000.0,0.0,,,,Work Partially Completed,0.0,0.0,0,0.0,0.0,,9999,0
52874,AKHILESH YADAV,KANNAUJ,Normal/Others,,980000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52875,DEVESH CHANDRA THAKUR,SITAMARHI,Normal/Others,,500000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52876,DEVESH CHANDRA THAKUR,SITAMARHI,Normal/Others,,500000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52877,GENIBEN NAGAJI THAKOR,BANASKANTHA,Normal/Others,,500000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52878,GENIBEN NAGAJI THAKOR,BANASKANTHA,Normal/Others,,500000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52879,GENIBEN NAGAJI THAKOR,BANASKANTHA,Normal/Others,,500000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
5288,VINOD KUMAR BIND,BHADOHI,Normal/Others,,259942.0,118993.0,,,2026-01-08,Physical Inspection,0.0,0.4577675019812112,0,0.0,0.4577675019812112,,9999,0
52880,GENIBEN NAGAJI THAKOR,BANASKANTHA,Normal/Others,,500000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52881,GENIBEN NAGAJI THAKOR,BANASKANTHA,Normal/Others,,500000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52882,DEVESH CHANDRA THAKUR,SITAMARHI,Normal/Others,,500000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52883,DEVESH CHANDRA THAKUR,SITAMARHI,Normal/Others,,375000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52884,DEVESH CHANDRA THAKUR,SITAMARHI,Normal/Others,,375000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52885,DEVESH CHANDRA THAKUR,SITAMARHI,Normal/Others,,500000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52886,DEVESH CHANDRA THAKUR,SITAMARHI,Normal/Others,,500000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52887,BHARATBHAI MANUBHAI SUTARIYA,AMRELI,Normal/Others,,500000.0,0.0,,,,Sanction,0.0,0.0,0,0.0,0.0,,9999,0
52888,DEVESH CHANDRA THAKUR,SITAMARHI,Normal/Others,,250000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52889,DEVESH CHANDRA THAKUR,SITAMARHI,Normal/Others,,375000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
5289,VINOD KUMAR BIND,BHADOHI,Normal/Others,,259942.0,118993.0,,,2026-01-08,Physical Inspection,0.0,0.4577675019812112,0,0.0,0.4577675019812112,,9999,0
52890,DEVESH CHANDRA THAKUR,SITAMARHI,Normal/Others,,250000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52891,TOKHAN SAHU,BILASPUR,Normal/Others,,1000000.0,0.0,2025-10-09,2026-10-09,,Vendor Identification,10.833333333333334,0.0,0,0.0,0.0,,9999,0
52892,DEVESH CHANDRA THAKUR,SITAMARHI,Normal/Others,,125000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52893,DEVESH CHANDRA THAKUR,SITAMARHI,Normal/Others,,125000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52894,DEVESH CHANDRA THAKUR,SITAMARHI,Normal/Others,,125000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52895,DEVESH CHANDRA THAKUR,SITAMARHI,Normal/Others,,125000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52896,CHAMALA KIRAN KUMAR REDDY,BHONGIR,Normal/Others,,200000.0,0.0,,,,Sanction,0.0,0.0,0,0.0,0.0,,9999,0
52897,CHAMALA KIRAN KUMAR REDDY,BHONGIR,Normal/Others,,200000.0,0.0,,,,Sanction,0.0,0.0,0,0.0,0.0,,9999,0
52898,CHAMALA KIRAN KUMAR REDDY,BHONGIR,Normal/Others,,300000.0,0.0,,,,Work Partially Completed,0.0,0.0,0,0.0,0.0,,9999,0
52899,DHARMENDRA YADAV,AZAMGARH,Normal/Others,,1700000.0,0.0,2026-07-01,2027-07-01,,Sanction,2.0,0.0,0,0.0,0.0,,9999,0
529,Arvind Dharmapuri,NIZAMABAD,Normal/Others,,500000.0,147546.0,2025-08-04,2026-08-04,2024-11-12,Vendor Identification,13.033333333333333,0.295092,-630,11320.664961636829,0.295092,,9999,0
5290,VINOD KUMAR BIND,BHADOHI,Normal/Others,,259942.0,118993.0,,,2026-01-08,Physical Inspection,0.0,0.4577675019812112,0,0.0,0.4577675019812112,,9999,0
52900,DEVESH CHANDRA THAKUR,SITAMARHI,Normal/Others,,125000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52901,DEVESH CHANDRA THAKUR,SITAMARHI,Normal/Others,,250000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52902,ARUN BHARTI,JAMUI(SC),Normal/Others,,392620.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52903,ARUN BHARTI,JAMUI(SC),Normal/Others,,477569.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52904,SELJA,SIRSA(SC),Normal/Others,,175000.0,0.0,,,,Vendor Identification,0.0,0.0,0,0.0,0.0,,9999,0
52905,DHARMENDRA YADAV,AZAMGARH,Normal/Others,,1392000.0,0.0,,,,Work Completed,0.0,0.0,0,0.0,0.0,,9999,0
52906,DHARMENDRA YADAV,AZAMGARH,Normal/Others,,117000.0,0.0,,,,Work Partially Completed,0.0,0.0,0,0.0,0.0,,9999,0
52907,D M Kathir Anand,VELLORE,Normal/Others,,1100000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52908,KALI CHARAN SINGH,CHATRA,Normal/Others,,250000.0,0.0,,,,Physical Inspection,0.0,0.0,0,0.0,0.0,,9999,0
52909,DHARMENDRA YADAV,AZAMGARH,Normal/Others,,924237.0,0.0,,,,Vendor Identification,0.0,0.0,0,0.0,0.0,,9999,0
5291,VINOD KUMAR BIND,BHADOHI,Normal/Others,,259942.0,118993.0,,,2026-01-08,Physical Inspection,0.0,0.4577675019812112,0,0.0,0.4577675019812112,,9999,0
52910,KALI CHARAN SINGH,CHATRA,Normal/Others,,249992.0,0.0,2025-12-10,2026-12-10,,Physical Inspection,8.766666666666667,0.0,0,0.0,0.0,,9999,0
52911,MAHESH KASHYAP,BASTAR(ST),Normal/Others,,77365.0,0.0,2026-02-10,2027-02-10,,Vendor Identification,6.7,0.0,0,0.0,0.0,,9999,0
52912,MAHESH KASHYAP,BASTAR(ST),Normal/Others,,77365.0,0.0,2026-02-10,2027-02-10,,Time Estimation,6.7,0.0,0,0.0,0.0,,9999,0
52913,MAHESH KASHYAP,BASTAR(ST),Normal/Others,,77365.0,0.0,2026-02-10,2027-02-10,,Time Estimation,6.7,0.0,0,0.0,0.0,,9999,0
52914,MAHESH KASHYAP,BASTAR(ST),Normal/Others,,77365.0,0.0,2026-02-10,2027-02-10,,Time Estimation,6.7,0.0,0,0.0,0.0,,9999,0
52915,MAHESH KASHYAP,BASTAR(ST),Normal/Others,,77365.0,0.0,2026-02-10,2027-02-10,,Time Estimation,6.7,0.0,0,0.0,0.0,,9999,0
52916,MAHESH KASHYAP,BASTAR(ST),Normal/Others,,77365.0,0.0,2026-02-10,2027-02-10,,Time Estimation,6.7,0.0,0,0.0,0.0,,9999,0
52917,MAHESH KASHYAP,BASTAR(ST),Normal/Others,,77365.0,0.0,2026-02-10,2027-02-10,,Time Estimation,6.7,0.0,0,0.0,0.0,,9999,0
52918,MAHESH KASHYAP,BASTAR(ST),Normal/Others,,77365.0,0.0,2026-02-10,2027-02-10,,Time Estimation,6.7,0.0,0,0.0,0.0,,9999,0
52919,MAHESH KASHYAP,BASTAR(ST),Normal/Others,,77365.0,0.0,2026-02-10,2027-02-10,,Time Estimation,6.7,0.0,0,0.0,0.0,,9999,0
